syd,did,wei,symptom,diagnose
104,251,2,unsteady gait (trouble walking),epidural hematoma:bleeding around brain or spine
145,251,3,headache after trauma,epidural hematoma:bleeding around brain or spine
164,251,1,loss of balance,epidural hematoma:bleeding around brain or spine
165,251,3,bleeding in brain,epidural hematoma:bleeding around brain or spine
292,251,3,confusion,epidural hematoma:bleeding around brain or spine
293,251,3,headache and weakness,epidural hematoma:bleeding around brain or spine
294,251,2,confusion and headache,epidural hematoma:bleeding around brain or spine
15,375,2,change in behavior,hyponatremia:low blood sodium
87,375,2,seizure,hyponatremia:low blood sodium
116,375,3,tired,hyponatremia:low blood sodium
292,375,2,confusion,hyponatremia:low blood sodium
15,377,1,change in behavior,hypothyroidism:low thyroid hormone
16,377,1,constipation,hypothyroidism:low thyroid hormone
19,377,0,depressed,hypothyroidism:low thyroid hormone
48,377,1,hypothermia (low temperature),hypothyroidism:low thyroid hormone
58,377,0,swelling of both legs,hypothyroidism:low thyroid hormone
70,377,1,obesity,hypothyroidism:low thyroid hormone
116,377,1,tired,hypothyroidism:low thyroid hormone
132,377,1,failure to thrive,hypothyroidism:low thyroid hormone
188,377,0,impotence,hypothyroidism:low thyroid hormone
196,377,0,foot swelling,hypothyroidism:low thyroid hormone
199,377,2,amenorrhea (no menstruation),hypothyroidism:low thyroid hormone
204,377,2,low blood sugar,hypothyroidism:low thyroid hormone
205,377,1,low blood pressure,hypothyroidism:low thyroid hormone
207,377,2,low heart rate,hypothyroidism:low thyroid hormone
246,377,0,dementia,hypothyroidism:low thyroid hormone
258,377,1,dry skin,hypothyroidism:low thyroid hormone
292,377,1,confusion,hypothyroidism:low thyroid hormone
284,377,1,retaining fluid,hypothyroidism:low thyroid hormone
15,395,2,change in behavior,intracranial hemorrhage:bleeding in brain
21,395,1,dizziness,intracranial hemorrhage:bleeding in brain
40,395,1,head injury,intracranial hemorrhage:bleeding in brain
41,395,1,headache,intracranial hemorrhage:bleeding in brain
145,395,3,headache after trauma,intracranial hemorrhage:bleeding in brain
165,395,3,bleeding in brain,intracranial hemorrhage:bleeding in brain
292,395,2,confusion,intracranial hemorrhage:bleeding in brain
15,448,1,change in behavior,malignant hyperthermia:rare temperature abnormality
43,448,1,heat illness,malignant hyperthermia:rare temperature abnormality
292,448,1,confusion,malignant hyperthermia:rare temperature abnormality
15,657,3,change in behavior,"respiratory failure:breathing failure, ards"
17,657,1,cough,"respiratory failure:breathing failure, ards"
87,657,1,seizure,"respiratory failure:breathing failure, ards"
170,657,1,cyanosis (blue skin coloration),"respiratory failure:breathing failure, ards"
292,657,3,confusion,"respiratory failure:breathing failure, ards"
15,736,2,change in behavior,subdural hematoma:bleeding on brain
36,736,1,"cranky, crying, fussy, irritable child",subdural hematoma:bleeding on brain
40,736,3,head injury,subdural hematoma:bleeding on brain
41,736,1,headache,subdural hematoma:bleeding on brain
87,736,1,seizure,subdural hematoma:bleeding on brain
94,736,1,speech problem,subdural hematoma:bleeding on brain
104,736,2,unsteady gait (trouble walking),subdural hematoma:bleeding on brain
128,736,2,inconsolable baby,subdural hematoma:bleeding on brain
145,736,3,headache after trauma,subdural hematoma:bleeding on brain
145,736,3,headache after trauma,subdural hematoma:bleeding on brain
164,736,1,loss of balance,subdural hematoma:bleeding on brain
165,736,3,bleeding in brain,subdural hematoma:bleeding on brain
240,736,1,memory loss,subdural hematoma:bleeding on brain
292,736,2,confusion,subdural hematoma:bleeding on brain
293,736,3,headache and weakness,subdural hematoma:bleeding on brain
294,736,2,confusion and headache,subdural hematoma:bleeding on brain
15,848,3,change in behavior,seizure:abnormal brain electrical activity
21,848,1,dizziness,seizure:abnormal brain electrical activity
28,848,3,fainting,seizure:abnormal brain electrical activity
41,848,1,headache,seizure:abnormal brain electrical activity
87,848,2,seizure,seizure:abnormal brain electrical activity
121,848,1,tremors,seizure:abnormal brain electrical activity
197,848,1,visual flashing lights,seizure:abnormal brain electrical activity
240,848,3,memory loss,seizure:abnormal brain electrical activity
292,848,3,confusion,seizure:abnormal brain electrical activity
15,207,1,change in behavior,dementia:decline in mental ability
240,207,1,memory loss,dementia:decline in mental ability
246,207,1,dementia,dementia:decline in mental ability
291,207,0,agitated,dementia:decline in mental ability
292,207,1,confusion,dementia:decline in mental ability
15,868,0,change in behavior,meningioma:brain tumor
41,868,1,headache,meningioma:brain tumor
104,868,0,unsteady gait (trouble walking),meningioma:brain tumor
115,868,0,weakness (muscle localized),meningioma:brain tumor
292,868,0,confusion,meningioma:brain tumor
293,868,1,headache and weakness,meningioma:brain tumor
294,868,1,confusion and headache,meningioma:brain tumor
15,870,1,change in behavior,hydrocephalus:brain fluid build-up
41,870,2,headache,hydrocephalus:brain fluid build-up
49,870,2,incontinence (leaking urine),hydrocephalus:brain fluid build-up
112,870,2,visual problems,hydrocephalus:brain fluid build-up
128,870,2,inconsolable baby,hydrocephalus:brain fluid build-up
246,870,3,dementia,hydrocephalus:brain fluid build-up
292,870,1,confusion,hydrocephalus:brain fluid build-up
293,870,1,headache and weakness,hydrocephalus:brain fluid build-up
294,870,2,confusion and headache,hydrocephalus:brain fluid build-up
15,969,1,change in behavior,alzheimer's disease:dementia
136,969,1,behavioral problem,alzheimer's disease:dementia
240,969,1,memory loss,alzheimer's disease:dementia
246,969,1,dementia,alzheimer's disease:dementia
292,969,1,confusion,alzheimer's disease:dementia
15,1080,0,change in behavior,"porphyria:rare disorder of skin, nervous system"
41,1080,0,headache,"porphyria:rare disorder of skin, nervous system"
183,1080,0,blister (pocket of fluid),"porphyria:rare disorder of skin, nervous system"
277,1080,0,unusual color or odor of urine,"porphyria:rare disorder of skin, nervous system"
15,1099,0,change in behavior,lewy body dementia:common type of dementia
104,1099,1,unsteady gait (trouble walking),lewy body dementia:common type of dementia
246,1099,1,dementia,lewy body dementia:common type of dementia
292,1099,0,confusion,lewy body dementia:common type of dementia
15,1112,1,change in behavior,hepatic encephalopathy:confusion from liver failure
38,1112,1,delusions or hallucinations,hepatic encephalopathy:confusion from liver failure
113,1112,1,vomiting,hepatic encephalopathy:confusion from liver failure
292,1112,1,confusion,hepatic encephalopathy:confusion from liver failure
15,30,1,change in behavior,altered mental status:confusion
40,30,3,head injury,altered mental status:confusion
15,91,1,change in behavior,benzodiazepine:valium overdose
71,91,2,overdose,benzodiazepine:valium overdose
77,91,2,poisoning,benzodiazepine:valium overdose
153,91,3,ingestion,benzodiazepine:valium overdose
15,99,1,change in behavior,blood loss
21,99,2,dizziness,blood loss
28,99,3,fainting,blood loss
249,99,3,increased thirst,blood loss
15,143,0,change in behavior,cerebellar syndrome:loss of coordination
40,143,0,head injury,cerebellar syndrome:loss of coordination
15,175,1,change in behavior,cocaine abuse
19,175,1,depressed,cocaine abuse
28,175,1,fainting,cocaine abuse
38,175,1,delusions or hallucinations,cocaine abuse
64,175,1,nasal bleeding,cocaine abuse
96,175,3,substance abuse (drug abuse),cocaine abuse
262,175,1,chest pain,cocaine abuse
15,227,,change in behavior,drug reaction
19,227,,depressed,drug reaction
21,227,,dizziness,drug reaction
28,227,,fainting,drug reaction
38,227,,delusions or hallucinations,drug reaction
41,227,,headache,drug reaction
51,227,,insomnia (trouble sleeping),drug reaction
52,227,,skin itching,drug reaction
81,227,2,rash,drug reaction
87,227,2,seizure,drug reaction
96,227,,substance abuse (drug abuse),drug reaction
113,227,,vomiting,drug reaction
183,227,0,blister (pocket of fluid),drug reaction
238,227,,skin sores,drug reaction
262,227,,chest pain,drug reaction
277,227,1,unusual color or odor of urine,drug reaction
15,464,0,change in behavior,menopause:end of menstruation and fertility
19,464,0,depressed,menopause:end of menstruation and fertility
105,464,1,vaginal bleeding,menopause:end of menstruation and fertility
109,464,0,vaginal itching,menopause:end of menstruation and fertility
110,464,1,vaginal pain,menopause:end of menstruation and fertility
180,464,1,night sweats,menopause:end of menstruation and fertility
199,464,1,amenorrhea (no menstruation),menopause:end of menstruation and fertility
209,464,1,hot flashes,menopause:end of menstruation and fertility
235,464,1,sweating,menopause:end of menstruation and fertility
258,464,1,dry skin,menopause:end of menstruation and fertility
15,1026,1,change in behavior,hemolytic anemia:red blood cell destruction disorder
179,1026,1,jaundice (yellowing skin),hemolytic anemia:red blood cell destruction disorder
16,36,1,constipation,anal fissure: (tear)
218,36,2,maroon stools,anal fissure: (tear)
238,36,0,skin sores,anal fissure: (tear)
16,180,2,constipation,colon cancer:large intestine tumor
20,180,1,diarrhea,colon cancer:large intestine tumor
173,180,1,abdominal swelling (stomach swelling),colon cancer:large intestine tumor
218,180,2,maroon stools,colon cancer:large intestine tumor
16,282,2,constipation,fecal impaction:rectal blockage from stool
49,282,1,incontinence (leaking urine),fecal impaction:rectal blockage from stool
16,343,1,constipation,hemorrhoid:enlarged rectal veins
82,343,1,rectal pain,hemorrhoid:enlarged rectal veins
83,343,1,rectal swelling,hemorrhoid:enlarged rectal veins
218,343,2,maroon stools,hemorrhoid:enlarged rectal veins
16,373,1,constipation,hypokalemia:low blood potassium
116,373,1,tired,hypokalemia:low blood potassium
171,373,3,muscle spasm,hypokalemia:low blood potassium
16,415,,constipation,laxative abuse
136,415,0,behavioral problem,laxative abuse
16,549,,constipation,paralytic ileus:intestinal paralysis
66,549,1,nausea,paralytic ileus:intestinal paralysis
173,549,2,abdominal swelling (stomach swelling),paralytic ileus:intestinal paralysis
16,290,0,constipation,fibroid:uterine muscle tumor
37,290,0,groin pain,fibroid:uterine muscle tumor
74,290,1,pelvic pain,fibroid:uterine muscle tumor
105,290,1,vaginal bleeding,fibroid:uterine muscle tumor
211,290,1,infertility (female),fibroid:uterine muscle tumor
264,290,0,stomach and abdominal pain,fibroid:uterine muscle tumor
16,644,1,constipation,rectal cancer:tumor
20,644,1,diarrhea,rectal cancer:tumor
82,644,1,rectal pain,rectal cancer:tumor
83,644,1,rectal swelling,rectal cancer:tumor
16,646,0,constipation,rectal prolapse:rectal protrusion
82,646,0,rectal pain,rectal prolapse:rectal protrusion
83,646,1,rectal swelling,rectal prolapse:rectal protrusion
16,647,0,constipation,rectal ulcer
82,647,0,rectal pain,rectal ulcer
238,647,0,skin sores,rectal ulcer
16,653,0,constipation,"renal failure, chronic:ongoing kidney failure"
21,653,0,dizziness,"renal failure, chronic:ongoing kidney failure"
52,653,0,skin itching,"renal failure, chronic:ongoing kidney failure"
58,653,0,swelling of both legs,"renal failure, chronic:ongoing kidney failure"
59,653,0,lethargy (sluggishness),"renal failure, chronic:ongoing kidney failure"
87,653,0,seizure,"renal failure, chronic:ongoing kidney failure"
88,653,0,shortness of breath,"renal failure, chronic:ongoing kidney failure"
113,653,0,vomiting,"renal failure, chronic:ongoing kidney failure"
114,653,0,general weakness,"renal failure, chronic:ongoing kidney failure"
116,653,0,tired,"renal failure, chronic:ongoing kidney failure"
171,653,0,muscle spasm,"renal failure, chronic:ongoing kidney failure"
188,653,1,impotence,"renal failure, chronic:ongoing kidney failure"
208,653,0,foot itching,"renal failure, chronic:ongoing kidney failure"
225,653,0,arm itching,"renal failure, chronic:ongoing kidney failure"
230,653,0,hand itching,"renal failure, chronic:ongoing kidney failure"
231,653,0,leg itching,"renal failure, chronic:ongoing kidney failure"
292,653,0,confusion,"renal failure, chronic:ongoing kidney failure"
284,653,0,retaining fluid,"renal failure, chronic:ongoing kidney failure"
16,1281,0,constipation,familial dysautonomia:genetic disorder
28,1281,0,fainting,familial dysautonomia:genetic disorder
87,1281,0,seizure,familial dysautonomia:genetic disorder
88,1281,0,shortness of breath,familial dysautonomia:genetic disorder
113,1281,0,vomiting,familial dysautonomia:genetic disorder
132,1281,0,failure to thrive,familial dysautonomia:genetic disorder
150,1281,0,choking,familial dysautonomia:genetic disorder
16,1251,1,constipation,abdominal adhesions:scar tissue
66,1251,0,nausea,abdominal adhesions:scar tissue
113,1251,0,vomiting,abdominal adhesions:scar tissue
264,1251,1,stomach and abdominal pain,abdominal adhesions:scar tissue
17,5,1,cough,ace inhibitor induced cough:blood pressure medication side effect:drug-induced cough:drug reaction: ace inhibitor
126,5,1,tongue swelling,ace inhibitor induced cough:blood pressure medication side effect:drug-induced cough:drug reaction: ace inhibitor
159,5,1,mouth swelling,ace inhibitor induced cough:blood pressure medication side effect:drug-induced cough:drug reaction: ace inhibitor
194,5,1,lip swelling,ace inhibitor induced cough:blood pressure medication side effect:drug-induced cough:drug reaction: ace inhibitor
195,5,1,eye swelling,ace inhibitor induced cough:blood pressure medication side effect:drug-induced cough:drug reaction: ace inhibitor
17,113,1,cough,bronchiectasis:bronchial tube inflammatory damage
88,113,1,shortness of breath,bronchiectasis:bronchial tube inflammatory damage
170,113,1,cyanosis (blue skin coloration),bronchiectasis:bronchial tube inflammatory damage
178,113,2,hemoptysis (coughing blood),bronchiectasis:bronchial tube inflammatory damage
273,113,1,congestion in chest or lungs,bronchiectasis:bronchial tube inflammatory damage
17,170,1,cough,"chronic obstructive pulmonary disease:copd, emphysema"
21,170,0,dizziness,"chronic obstructive pulmonary disease:copd, emphysema"
88,170,1,shortness of breath,"chronic obstructive pulmonary disease:copd, emphysema"
129,170,1,wheezing (noisy breathing),"chronic obstructive pulmonary disease:copd, emphysema"
170,170,1,cyanosis (blue skin coloration),"chronic obstructive pulmonary disease:copd, emphysema"
262,170,1,chest pain,"chronic obstructive pulmonary disease:copd, emphysema"
270,170,1,difficulty breathing,"chronic obstructive pulmonary disease:copd, emphysema"
17,836,3,cough,whooping cough:pertussis
270,836,2,difficulty breathing,whooping cough:pertussis
273,836,2,congestion in chest or lungs,whooping cough:pertussis
269,836,1,hurts to breathe,whooping cough:pertussis
17,786,1,cough,typhoid fever:salmonella typhi infection from contaminated food or water
20,786,1,diarrhea,typhoid fever:salmonella typhi infection from contaminated food or water
30,786,3,fever in the returning traveler,typhoid fever:salmonella typhi infection from contaminated food or water
294,786,1,confusion and headache,typhoid fever:salmonella typhi infection from contaminated food or water
17,1050,0,cough,"loffler's syndrome:pulmonary eosinophilia, lung inflammation"
29,1050,0,fever,"loffler's syndrome:pulmonary eosinophilia, lung inflammation"
88,1050,0,shortness of breath,"loffler's syndrome:pulmonary eosinophilia, lung inflammation"
273,1050,0,congestion in chest or lungs,"loffler's syndrome:pulmonary eosinophilia, lung inflammation"
17,27,0,cough,allergic rhinitis: (allergic reaction in the nose)
24,27,0,pain in the ear,allergic rhinitis: (allergic reaction in the nose)
41,27,0,headache,allergic rhinitis: (allergic reaction in the nose)
64,27,2,nasal bleeding,allergic rhinitis: (allergic reaction in the nose)
93,27,0,sore throat,allergic rhinitis: (allergic reaction in the nose)
120,27,0,throat pain,allergic rhinitis: (allergic reaction in the nose)
162,27,2,sneezing,allergic rhinitis: (allergic reaction in the nose)
236,27,2,nasal congestion,allergic rhinitis: (allergic reaction in the nose)
17,594,0,cough,post nasal drip
47,594,2,hoarse voice,post nasal drip
236,594,0,nasal congestion,post nasal drip
17,716,0,cough,smoking:tobacco use disorder
47,716,1,hoarse voice,smoking:tobacco use disorder
211,716,2,infertility (female),smoking:tobacco use disorder
17,783,0,cough,tuberculosis infection:tb
30,783,0,fever in the returning traveler,tuberculosis infection:tb
116,783,0,tired,tuberculosis infection:tb
132,783,0,failure to thrive,tuberculosis infection:tb
235,783,0,sweating,tuberculosis infection:tb
17,822,0,cough,viral infections
20,822,0,diarrhea,viral infections
21,822,0,dizziness,viral infections
24,822,0,pain in the ear,viral infections
29,822,0,fever,viral infections
31,822,1,fever of unknown origin,viral infections
36,822,0,"cranky, crying, fussy, irritable child",viral infections
41,822,0,headache,viral infections
66,822,0,nausea,viral infections
81,822,0,rash,viral infections
88,822,0,shortness of breath,viral infections
93,822,0,sore throat,viral infections
113,822,0,vomiting,viral infections
120,822,0,throat pain,viral infections
236,822,0,nasal congestion,viral infections
17,915,,cough,rhinitis:nasal inflammation
23,915,,ear pressure,rhinitis:nasal inflammation
93,915,,sore throat,rhinitis:nasal inflammation
120,915,,throat pain,rhinitis:nasal inflammation
236,915,,nasal congestion,rhinitis:nasal inflammation
257,915,2,snoring,rhinitis:nasal inflammation
17,1319,0,cough,large cell lung cancer
31,1319,0,fever of unknown origin,large cell lung cancer
88,1319,0,shortness of breath,large cell lung cancer
116,1319,0,tired,large cell lung cancer
123,1319,0,"weight loss, unexplained",large cell lung cancer
178,1319,0,hemoptysis (coughing blood),large cell lung cancer
17,1321,0,cough,malignant mesothelioma
31,1321,0,fever of unknown origin,malignant mesothelioma
88,1321,0,shortness of breath,malignant mesothelioma
116,1321,0,tired,malignant mesothelioma
123,1321,0,"weight loss, unexplained",malignant mesothelioma
262,1321,0,chest pain,malignant mesothelioma
17,1361,0,cough,squamous cell lung cancer
88,1361,0,shortness of breath,squamous cell lung cancer
116,1361,0,tired,squamous cell lung cancer
123,1361,0,"weight loss, unexplained",squamous cell lung cancer
178,1361,0,hemoptysis (coughing blood),squamous cell lung cancer
262,1361,0,chest pain,squamous cell lung cancer
17,1261,1,cough,mycoplasma infection:bacteria
24,1261,0,pain in the ear,mycoplasma infection:bacteria
41,1261,0,headache,mycoplasma infection:bacteria
62,1261,0,muscle pain,mycoplasma infection:bacteria
93,1261,0,sore throat,mycoplasma infection:bacteria
236,1261,0,nasal congestion,mycoplasma infection:bacteria
17,1455,0,cough,neutropenia
24,1455,0,pain in the ear,neutropenia
29,1455,0,fever,neutropenia
61,1455,0,mouth pain,neutropenia
263,1455,0,skin infection,neutropenia
17,1487,0,cough,bacterial tracheitis
29,1487,0,fever,bacterial tracheitis
47,1487,0,hoarse voice,bacterial tracheitis
93,1487,0,sore throat,bacterial tracheitis
18,456,1,dark stools,meckel's diverticulum:bulge in small intestine
18,826,1,dark stools,volvulus:twisted intestine
18,922,2,dark stools,pepto bismol or kaopectate ingestion:bismuth
18,126,0,dark stools,cancer:tumor
31,126,1,fever of unknown origin,cancer:tumor
47,126,0,hoarse voice,cancer:tumor
58,126,0,swelling of both legs,cancer:tumor
59,126,0,lethargy (sluggishness),cancer:tumor
116,126,2,tired,cancer:tumor
123,126,1,"weight loss, unexplained",cancer:tumor
132,126,0,failure to thrive,cancer:tumor
173,126,0,abdominal swelling (stomach swelling),cancer:tumor
176,126,0,hand numbness (paresthesias),cancer:tumor
177,126,0,ankle pain,cancer:tumor
180,126,2,night sweats,cancer:tumor
187,126,0,jaw pain,cancer:tumor
196,126,0,foot swelling,cancer:tumor
234,126,0,armpit pain,cancer:tumor
235,126,0,sweating,cancer:tumor
241,126,0,arm numbness (paresthesias),cancer:tumor
242,126,0,leg numbness (paresthesias),cancer:tumor
243,126,0,foot numbness (paresthesias),cancer:tumor
244,126,0,face numbness (paresthesias),cancer:tumor
247,126,0,facial droop (weakness),cancer:tumor
19,737,1,depressed,substance abuse
121,737,,tremors,substance abuse
19,90,0,depressed,benzodiazepine:valium abuse
96,90,1,substance abuse (drug abuse),benzodiazepine:valium abuse
19,277,0,depressed,false pregnancy
78,277,0,pregnancy problem,false pregnancy
282,277,0,excessive appetite,false pregnancy
19,1537,1,depressed,failure to thrive - adult:failure to thrive
292,1537,1,confusion,failure to thrive - adult:failure to thrive
20,74,3,diarrhea,bacterial dysentery:bacterial infection of the intestines
66,74,1,nausea,bacterial dysentery:bacterial infection of the intestines
82,74,3,rectal pain,bacterial dysentery:bacterial infection of the intestines
218,74,1,maroon stools,bacterial dysentery:bacterial infection of the intestines
20,202,0,diarrhea,cytomegalovirus infection:cmv viral infection
20,668,2,diarrhea,rotavirus infection:intestinal viral infection
30,668,1,fever in the returning traveler,rotavirus infection:intestinal viral infection
103,668,1,traveler's diarrhea,rotavirus infection:intestinal viral infection
20,1116,0,diarrhea,listeria:serious bacterial illness
20,317,0,diarrhea,giardiasis:giardia infection
30,317,2,fever in the returning traveler,giardiasis:giardia infection
103,317,1,traveler's diarrhea,giardiasis:giardia infection
181,317,2,flatulence (passing gas),giardiasis:giardia infection
20,1285,2,diarrhea,food allergy
46,1285,2,hives,food allergy
81,1285,2,rash,food allergy
88,1285,0,shortness of breath,food allergy
98,1285,0,swallowing problem (dysphagia),food allergy
113,1285,1,vomiting,food allergy
159,1285,2,mouth swelling,food allergy
194,1285,2,lip swelling,food allergy
20,1329,0,diarrhea,neuroblastoma
29,1329,0,fever,neuroblastoma
115,1329,0,weakness (muscle localized),neuroblastoma
291,1329,0,agitated,neuroblastoma
20,1375,2,diarrhea,traveler's diarrhea:montezuma's revenge
66,1375,1,nausea,traveler's diarrhea:montezuma's revenge
113,1375,1,vomiting,traveler's diarrhea:montezuma's revenge
264,1375,2,stomach and abdominal pain,traveler's diarrhea:montezuma's revenge
20,1379,0,diarrhea,tropical sprue
66,1379,0,nausea,tropical sprue
113,1379,0,vomiting,tropical sprue
264,1379,0,stomach and abdominal pain,tropical sprue
20,1387,0,diarrhea,amyloidosis
69,1387,0,numbness,amyloidosis
81,1387,0,rash,amyloidosis
88,1387,0,shortness of breath,amyloidosis
113,1387,0,vomiting,amyloidosis
116,1387,0,tired,amyloidosis
240,1387,0,memory loss,amyloidosis
21,105,3,dizziness,bradycardia:slow heart rate
28,105,1,fainting,bradycardia:slow heart rate
88,105,1,shortness of breath,bradycardia:slow heart rate
262,105,1,chest pain,bradycardia:slow heart rate
21,376,3,dizziness,hypotension:low blood pressure
28,376,3,fainting,hypotension:low blood pressure
292,376,2,confusion,hypotension:low blood pressure
21,775,2,dizziness,"transient ischemic attack:tia, reversible stroke"
28,775,1,fainting,"transient ischemic attack:tia, reversible stroke"
94,775,2,speech problem,"transient ischemic attack:tia, reversible stroke"
104,775,2,unsteady gait (trouble walking),"transient ischemic attack:tia, reversible stroke"
112,775,2,visual problems,"transient ischemic attack:tia, reversible stroke"
115,775,2,weakness (muscle localized),"transient ischemic attack:tia, reversible stroke"
164,775,2,loss of balance,"transient ischemic attack:tia, reversible stroke"
197,775,1,visual flashing lights,"transient ischemic attack:tia, reversible stroke"
240,775,2,memory loss,"transient ischemic attack:tia, reversible stroke"
247,775,2,facial droop (weakness),"transient ischemic attack:tia, reversible stroke"
21,981,1,dizziness,"ventricular tachycardia:vt, dangerous irregular heart beat"
28,981,1,fainting,"ventricular tachycardia:vt, dangerous irregular heart beat"
73,981,2,heart pulsations and palpitations,"ventricular tachycardia:vt, dangerous irregular heart beat"
262,981,1,chest pain,"ventricular tachycardia:vt, dangerous irregular heart beat"
21,88,1,dizziness,benign positional vertigo:sensation of spinning
111,88,2,vertigo (room spinning),benign positional vertigo:sensation of spinning
21,12,0,dizziness,acoustic neuroma:(ear nerve tumor)
24,12,0,pain in the ear,acoustic neuroma:(ear nerve tumor)
157,12,0,ringing in ears (tinnitus),acoustic neuroma:(ear nerve tumor)
21,107,1,dizziness,brain tumor:cancer of the brain
41,107,1,headache,brain tumor:cancer of the brain
87,107,1,seizure,brain tumor:cancer of the brain
94,107,3,speech problem,brain tumor:cancer of the brain
104,107,3,unsteady gait (trouble walking),brain tumor:cancer of the brain
111,107,1,vertigo (room spinning),brain tumor:cancer of the brain
112,107,1,visual problems,brain tumor:cancer of the brain
164,107,3,loss of balance,brain tumor:cancer of the brain
165,107,3,bleeding in brain,brain tumor:cancer of the brain
240,107,1,memory loss,brain tumor:cancer of the brain
244,107,1,face numbness (paresthesias),brain tumor:cancer of the brain
246,107,3,dementia,brain tumor:cancer of the brain
255,107,3,drooping eyelid (ptosis),brain tumor:cancer of the brain
291,107,1,agitated,brain tumor:cancer of the brain
294,107,3,confusion and headache,brain tumor:cancer of the brain
21,130,1,dizziness,cardiomyopathy:weakened heart
88,130,1,shortness of breath,cardiomyopathy:weakened heart
116,130,1,tired,cardiomyopathy:weakened heart
262,130,1,chest pain,cardiomyopathy:weakened heart
21,184,0,dizziness,concussion
28,184,0,fainting,concussion
40,184,2,head injury,concussion
41,184,0,headache,concussion
65,184,0,nasal injury,concussion
66,184,2,nausea,concussion
87,184,2,seizure,concussion
111,184,2,vertigo (room spinning),concussion
121,184,0,tremors,concussion
145,184,2,headache after trauma,concussion
164,184,2,loss of balance,concussion
240,184,2,memory loss,concussion
294,184,2,confusion and headache,concussion
21,329,1,dizziness,head injury
41,329,3,headache,head injury
64,329,1,nasal bleeding,head injury
66,329,1,nausea,head injury
67,329,1,neck ache or pain,head injury
113,329,1,vomiting,head injury
121,329,1,tremors,head injury
246,329,3,dementia,head injury
291,329,1,agitated,head injury
293,329,3,headache and weakness,head injury
21,335,,dizziness,heat exhaustion
28,335,,fainting,heat exhaustion
43,335,2,heat illness,heat exhaustion
88,335,,shortness of breath,heat exhaustion
192,335,2,hot skin,heat exhaustion
235,335,0,sweating,heat exhaustion
249,335,2,increased thirst,heat exhaustion
21,365,1,dizziness,hypertensive emergency:severely high blood pressure
41,365,1,headache,hypertensive emergency:severely high blood pressure
165,365,2,bleeding in brain,hypertensive emergency:severely high blood pressure
294,365,2,confusion and headache,hypertensive emergency:severely high blood pressure
304,365,1,high blood pressure,hypertensive emergency:severely high blood pressure
21,409,,dizziness,labyrinthitis:dizziness and vertigo
23,409,,ear pressure,labyrinthitis:dizziness and vertigo
24,409,,pain in the ear,labyrinthitis:dizziness and vertigo
66,409,2,nausea,labyrinthitis:dizziness and vertigo
113,409,1,vomiting,labyrinthitis:dizziness and vertigo
164,409,1,loss of balance,labyrinthitis:dizziness and vertigo
21,461,0,dizziness,meniere's disease:dizziness and vertigo
23,461,0,ear pressure,meniere's disease:dizziness and vertigo
111,461,1,vertigo (room spinning),meniere's disease:dizziness and vertigo
157,461,1,ringing in ears (tinnitus),meniere's disease:dizziness and vertigo
164,461,1,loss of balance,meniere's disease:dizziness and vertigo
21,469,0,dizziness,migraine:type of headache
26,469,1,eye pain (irritation),migraine:type of headache
41,469,2,headache,migraine:type of headache
51,469,0,insomnia (trouble sleeping),migraine:type of headache
66,469,2,nausea,migraine:type of headache
67,469,0,neck ache or pain,migraine:type of headache
94,469,1,speech problem,migraine:type of headache
111,469,1,vertigo (room spinning),migraine:type of headache
112,469,2,visual problems,migraine:type of headache
113,469,2,vomiting,migraine:type of headache
187,469,0,jaw pain,migraine:type of headache
197,469,2,visual flashing lights,migraine:type of headache
200,469,2,blurry vision,migraine:type of headache
244,469,2,face numbness (paresthesias),migraine:type of headache
304,469,1,high blood pressure,migraine:type of headache
21,593,0,dizziness,post concussive syndrome:symptoms after a concussion
40,593,1,head injury,post concussive syndrome:symptoms after a concussion
41,593,0,headache,post concussive syndrome:symptoms after a concussion
113,593,0,vomiting,post concussive syndrome:symptoms after a concussion
145,593,2,headache after trauma,post concussive syndrome:symptoms after a concussion
146,593,2,learning difficulties,post concussive syndrome:symptoms after a concussion
21,597,0,dizziness,postural hypotension:low blood pressure after standing
28,597,1,fainting,postural hypotension:low blood pressure after standing
21,687,1,dizziness,sepsis:serious blood infection
28,687,1,fainting,sepsis:serious blood infection
29,687,1,fever,sepsis:serious blood infection
36,687,3,"cranky, crying, fussy, irritable child",sepsis:serious blood infection
66,687,1,nausea,sepsis:serious blood infection
88,687,1,shortness of breath,sepsis:serious blood infection
128,687,2,inconsolable baby,sepsis:serious blood infection
204,687,1,low blood sugar,sepsis:serious blood infection
205,687,3,low blood pressure,sepsis:serious blood infection
240,687,1,memory loss,sepsis:serious blood infection
291,687,1,agitated,sepsis:serious blood infection
292,687,3,confusion,sepsis:serious blood infection
21,715,1,dizziness,smoke inhalation
28,715,1,fainting,smoke inhalation
88,715,1,shortness of breath,smoke inhalation
21,816,0,dizziness,vertigo:spinning sensation
40,816,0,head injury,vertigo:spinning sensation
66,816,0,nausea,vertigo:spinning sensation
113,816,0,vomiting,vertigo:spinning sensation
21,818,0,dizziness,"vestibular neuronitis:labyrinthitis, vertigo"
24,818,0,pain in the ear,"vestibular neuronitis:labyrinthitis, vertigo"
111,818,2,vertigo (room spinning),"vestibular neuronitis:labyrinthitis, vertigo"
21,838,1,dizziness,"wolff parkinson white syndrome:wpw, additional electrical pathway in the heart"
